章编号,章名称,节编码,节名称,三位码,三位名称,别名
第2章,肿瘤,C00-C14,唇、口腔和咽恶性肿瘤,C00,唇恶性肿瘤,唇癌
第2章,肿瘤,C00-C14,唇、口腔和咽恶性肿瘤,C01,舌根恶性肿瘤,舌根癌
第2章,肿瘤,C00-C14,唇、口腔和咽恶性肿瘤,C02,舌其他和未特指部位的恶性肿瘤,舌癌
第2章,肿瘤,C00-C14,唇、口腔和咽恶性肿瘤,C03,牙龈恶性肿瘤,牙龈癌
第2章,肿瘤,C00-C14,唇、口腔和咽恶性肿瘤,C04,口底恶性肿瘤,口底癌
第2章,肿瘤,C00-C14,唇、口腔和咽恶性肿瘤,C05,腭恶性肿瘤,腭癌
第2章,肿瘤,C00-C14,唇、口腔和咽恶性肿瘤,C06,口其他和未特指部位的恶性肿瘤,"口腔癌,OC"
第2章,肿瘤,C00-C14,唇、口腔和咽恶性肿瘤,C07,腮腺恶性肿瘤,腮腺癌
第2章,肿瘤,C00-C14,唇、口腔和咽恶性肿瘤,C08,大涎腺其他和未特指的恶性肿瘤,涎腺癌
第2章,肿瘤,C00-C14,唇、口腔和咽恶性肿瘤,C09,扁桃体恶性肿瘤,扁桃体癌
第2章,肿瘤,C00-C14,唇、口腔和咽恶性肿瘤,C10,口咽恶性肿瘤,"口咽癌,OPC"
第2章,肿瘤,C00-C14,唇、口腔和咽恶性肿瘤,C11,鼻咽恶性肿瘤,"鼻咽癌,NPC"
第2章,肿瘤,C00-C14,唇、口腔和咽恶性肿瘤,C12,梨状窦恶性肿瘤,梨状窦癌
第2章,肿瘤,C00-C14,唇、口腔和咽恶性肿瘤,C13,咽下部恶性肿瘤,"下咽癌,HPC"
第2章,肿瘤,C00-C14,唇、口腔和咽恶性肿瘤,C14,唇、口腔和咽其他和部位不明的恶性肿瘤,口腔咽喉癌
第2章,肿瘤,C15-C26,消化器官恶性肿瘤,C15,食管恶性肿瘤,"食管癌,EC"
第2章,肿瘤,C15-C26,消化器官恶性肿瘤,C16,胃恶性肿瘤,"胃癌,GC"
第2章,肿瘤,C15-C26,消化器官恶性肿瘤,C17,小肠恶性肿瘤,"小肠癌,SBC"
第2章,肿瘤,C15-C26,消化器官恶性肿瘤,C18,结肠恶性肿瘤,"结肠癌,CC"
第2章,肿瘤,C15-C26,消化器官恶性肿瘤,C19,直肠乙状结肠连接处恶性肿瘤,直肠乙状结肠癌
第2章,肿瘤,C15-C26,消化器官恶性肿瘤,C20,直肠恶性肿瘤,"直肠癌,RC"
第2章,肿瘤,C15-C26,消化器官恶性肿瘤,C21,肛门和肛管的恶性肿瘤,"肛门癌,肛管癌,AC"
第2章,肿瘤,C15-C26,消化器官恶性肿瘤,C22,肝和肝内胆管恶性肿瘤,"肝癌,肝内胆管癌,HCC,ICC"
第2章,肿瘤,C15-C26,消化器官恶性肿瘤,C23,胆囊恶性肿瘤,"胆囊癌,GBC"
第2章,肿瘤,C15-C26,消化器官恶性肿瘤,C24,胆道其他和未特指部位的恶性肿瘤,"胆道癌,胆管癌,BTC"
第2章,肿瘤,C15-C26,消化器官恶性肿瘤,C25,胰恶性肿瘤,"胰腺癌,PC"
第2章,肿瘤,C15-C26,消化器官恶性肿瘤,C26,消化器官其他和不明确的恶性肿瘤,消化系统癌
第2章,肿瘤,C30-C39,呼吸和胸腔内器官恶性肿瘤,C30,鼻腔和中耳恶性肿瘤,"鼻腔癌,中耳癌"
第2章,肿瘤,C30-C39,呼吸和胸腔内器官恶性肿瘤,C31,副鼻窦恶性肿瘤,鼻窦癌
第2章,肿瘤,C30-C39,呼吸和胸腔内器官恶性肿瘤,C32,喉恶性肿瘤,"喉癌,LC"
